Date,Open,High,Low,Close,Adj Close,Volume
2011-08-02,145.250000,145.699997,138.149994,141.550003,132.329651,1475136
2011-08-03,139.399994,144.300003,137.000000,142.699997,133.404755,1009315
2011-08-04,143.199997,144.800003,136.750000,138.149994,129.151123,3306069
2011-08-05,134.949997,141.000000,132.000000,139.750000,130.646927,9280860
2011-08-08,135.449997,140.500000,134.000000,136.149994,127.281395,3743566
2011-08-09,133.949997,138.000000,130.000000,133.449997,124.757248,997026
2011-08-10,136.350006,139.699997,134.899994,137.949997,128.964142,2270284
2011-08-11,136.000000,138.199997,134.250000,135.449997,126.626991,1536864
2011-08-12,137.199997,137.850006,135.000000,136.449997,127.561859,1540298
2011-08-16,132.000000,142.850006,132.000000,139.699997,130.600128,1041466
2011-08-17,139.399994,141.300003,136.050003,138.600006,129.571854,666711
2011-08-18,139.100006,140.750000,134.449997,136.449997,127.561859,5314420
2011-08-19,133.000000,137.949997,131.949997,136.300003,127.421654,3919879
2011-08-22,135.050003,137.899994,134.899994,136.050003,127.187897,334962
2011-08-23,137.399994,139.199997,134.199997,138.449997,129.431564,907130
2011-08-24,139.899994,148.000000,138.800003,146.800003,137.237686,2727812
2011-08-25,147.199997,149.649994,138.750000,140.399994,131.254562,1793336
2011-08-26,139.250000,142.850006,139.100006,140.550003,131.394821,694785
2011-08-29,141.149994,147.949997,141.000000,145.350006,135.882156,484414
2011-08-30,147.000000,152.899994,146.399994,152.100006,142.192444,1185911
2011-09-02,154.050003,158.500000,151.600006,157.500000,147.240692,1596147
2011-09-05,155.800003,160.600006,154.800003,157.250000,147.007004,912066
2011-09-06,160.000000,161.899994,150.899994,154.050003,144.015442,1330904
2011-09-07,155.300003,162.000000,154.500000,160.050003,149.624588,1871504
2011-09-08,161.800003,163.899994,158.600006,160.750000,150.278992,1011497
2011-09-09,162.449997,162.449997,153.050003,154.149994,144.108902,541841
2011-09-12,153.199997,156.800003,150.350006,152.350006,142.426163,458685
2011-09-13,155.899994,157.000000,151.649994,152.550003,142.613159,477998
2011-09-14,150.100006,153.000000,147.550003,149.050003,139.341156,1511322
2011-09-15,150.000000,151.699997,148.250000,149.350006,139.621582,535073
2011-09-16,150.000000,153.500000,148.000000,150.800003,140.977127,1324489
2011-09-19,149.000000,155.750000,148.199997,154.100006,144.062195,2809987
2011-09-20,155.100006,155.649994,152.500000,154.350006,144.295883,1631967
2011-09-21,154.050003,158.199997,154.050003,157.100006,146.866745,1204766
2011-09-22,156.100006,156.100006,142.199997,146.449997,136.910461,2453772
2011-09-23,144.600006,151.250000,143.750000,149.649994,139.902008,1400138
2011-09-26,150.300003,152.949997,147.399994,152.300003,142.379425,959586
2011-09-27,154.850006,158.899994,152.750000,157.449997,147.193954,1229409
2011-09-28,159.000000,161.199997,156.000000,160.300003,149.858307,2377196
2011-09-29,159.800003,166.750000,158.149994,163.949997,153.270554,3079459
2011-09-30,163.750000,169.800003,162.000000,164.350006,153.644531,2712461
2011-10-03,163.600006,164.000000,151.350006,153.100006,143.127350,1642213
2011-10-04,152.500000,159.800003,146.699997,147.449997,137.845337,1108391
2011-10-05,153.550003,153.899994,147.600006,150.649994,140.836899,643151
2011-10-07,155.550003,157.800003,151.199997,156.449997,146.259094,806599
2011-10-10,155.250000,157.850006,153.100006,154.850006,144.763336,574856
2011-10-11,155.899994,159.500000,152.250000,153.449997,143.454498,624082
2011-10-12,155.250000,156.850006,153.449997,155.000000,144.903564,606780
2011-10-13,155.000000,159.000000,154.500000,156.399994,146.212326,843751
2011-10-14,155.699997,157.300003,154.500000,155.449997,145.324219,499700
2011-10-17,156.050003,157.600006,153.100006,155.899994,145.744904,331198
2011-10-18,157.500000,157.500000,150.800003,152.250000,142.332672,355368
2011-10-19,153.050003,155.250000,149.550003,150.399994,140.603210,1057725
2011-10-20,148.000000,152.800003,147.600006,151.800003,141.911987,370257
2011-10-21,149.000000,153.000000,149.000000,150.449997,140.649918,300342
2011-10-24,155.050003,157.600006,151.649994,156.500000,146.305817,1167828
2011-10-25,156.500000,162.500000,155.500000,161.250000,150.746414,1139611
2011-10-28,162.399994,170.449997,162.399994,163.399994,152.756378,1051878
2011-10-31,160.050003,166.949997,160.050003,163.949997,153.270554,840954
2011-11-01,156.000000,163.949997,156.000000,160.100006,149.671326,512462
2011-11-02,157.399994,159.500000,155.100006,158.050003,147.754852,1042409
2011-11-03,163.000000,163.600006,157.550003,162.199997,151.634567,496651
2011-11-04,164.500000,167.500000,163.550003,165.000000,154.252167,1747474
2011-11-08,165.050003,166.699997,160.199997,161.550003,151.026886,873158
2011-11-09,162.149994,163.949997,156.100006,158.649994,148.315811,886539
2011-11-11,159.899994,162.899994,150.000000,150.449997,140.649918,2472593
2011-11-14,158.649994,158.649994,151.050003,155.149994,145.043793,1554235
2011-11-15,154.500000,156.050003,141.000000,144.600006,135.180984,1354549
2011-11-16,144.199997,144.199997,130.199997,132.550003,123.915924,3855162
2011-11-17,132.000000,135.850006,129.000000,132.149994,123.541946,2518688
2011-11-18,131.149994,139.800003,128.350006,137.899994,128.917389,1456984
2011-11-21,136.699997,139.100006,132.500000,136.600006,127.702087,717393
2011-11-22,137.899994,139.000000,131.250000,132.350006,123.728958,692110
2011-11-23,132.050003,132.350006,121.250000,123.550003,115.502159,1295172
2011-11-24,123.699997,125.000000,116.750000,117.699997,110.033211,2554572
2011-11-25,118.000000,124.849998,115.199997,123.349998,115.315186,4717307
2011-11-28,124.750000,127.449997,121.750000,126.400002,118.166512,2568553
2011-11-29,128.000000,130.899994,125.400002,128.300003,119.942741,1970380
2011-11-30,128.000000,130.350006,121.699997,125.750000,117.558853,1884842
2011-12-01,129.699997,132.350006,125.250000,126.199997,117.979530,1060484
2011-12-02,124.599998,132.000000,124.599998,130.300003,121.812485,578277
2011-12-05,129.699997,130.600006,126.349998,129.149994,120.737373,559299
2011-12-07,129.699997,133.949997,129.100006,132.100006,123.495224,1679421
2011-12-08,130.699997,133.899994,126.550003,128.850006,120.456917,956836
2011-12-09,127.349998,131.000000,124.400002,127.300003,119.007889,535841
2011-12-12,128.949997,130.899994,126.349998,129.000000,120.597122,1280093
2011-12-13,129.000000,129.600006,126.199997,128.149994,119.802505,829707
2011-12-14,128.300003,132.500000,127.650002,130.399994,121.905937,622509
2011-12-15,128.000000,129.500000,125.849998,127.050003,118.774170,2760437
2011-12-16,127.099998,129.500000,124.400002,126.650002,118.400230,1062095
